game_id,player_id,points,assists,rebounds,game_date
G183,P183,28,5,20,2023-01-25
G184,P184,12,3,14,2023-05-27
G185,P185,17,13,3,2023-10-29
G186,P186,3,11,11,2023-07-01
G187,P187,50,13,20,2023-05-18
G188,P188,18,7,10,2023-07-08
G189,P189,47,0,7,2023-12-06
G190,P190,22,6,5,2023-11-27
G191,P191,39,13,7,2023-01-02
G192,P192,33,11,15,2023-06-22
G193,P193,50,5,14,2023-10-06
G194,P194,15,8,17,2023-04-12
G195,P195,45,12,9,2023-07-23
G196,P196,5,8,1,2023-10-12
G197,P197,31,11,17,2023-07-11
G198,P198,39,6,5,2023-11-03
G199,P199,14,13,9,2023-03-02
G200,P200,34,12,12,2023-09-15
G201,P201,28,15,14,2023-06-02
G202,P202,18,7,2,2023-08-02
G203,P203,30,11,5,2023-11-30
G204,P204,16,13,11,2023-08-17
G205,P205,18,1,1,2023-07-13
G206,P206,22,0,12,2023-01-26
G207,P207,24,0,10,2023-10-03
G208,P208,9,13,9,2023-06-02
G209,P209,48,4,15,2023-02-20
G210,P210,29,2,19,2023-09-15
G211,P211,17,2,20,2023-12-15
G212,P212,4,5,7,2023-01-23
G213,P213,18,4,18,2023-10-21
G214,P214,10,5,10,2023-03-17
G215,P215,29,15,16,2023-05-05
G216,P216,18,14,18,2023-02-19
G217,P217,11,12,12,2023-08-05
G218,P218,17,9,3,2023-08-30
G219,P219,12,2,15,2023-10-20
G220,P220,9,6,5,2023-09-17
G221,P221,50,9,1,2023-07-15
G222,P222,9,15,19,2023-12-17
G223,P223,17,11,3,2023-07-18
G224,P224,4,4,13,2023-02-12
G225,P225,25,0,2,2023-09-10
G226,P226,22,2,18,2023-07-27
G227,P227,17,6,0,2023-02-11
G228,P228,5,1,7,2023-08-11
G229,P229,16,6,3,2023-06-28
G230,P230,49,3,18,2023-05-05
G231,P231,32,11,10,2023-06-24
G232,P232,22,5,7,2023-02-02
G233,P233,2,1,3,2023-01-12
G234,P234,48,11,13,2023-01-15
G235,P235,31,9,20,2023-09-30
G236,P236,12,15,5,2023-10-20
G237,P237,33,10,13,2023-04-24
G238,P238,7,4,13,2023-12-08
G239,P239,32,2,14,2023-09-18
G240,P240,31,8,10,2023-05-12
G241,P241,22,5,11,2023-01-16
G242,P242,37,11,7,2023-07-19
G243,P243,33,8,15,2023-11-01
G244,P244,12,7,9,2023-05-04
G245,P245,39,12,14,2023-04-11
G246,P246,29,2,4,2023-08-03
G247,P247,8,8,2,2023-01-11
G248,P248,5,10,6,2023-07-13
G249,P249,21,3,20,2023-12-20
G250,P250,18,13,7,2023-03-06
G251,P251,1,1,5,2023-03-22
G252,P252,12,0,0,2023-05-22
G253,P253,43,13,3,2023-06-24
G254,P254,25,4,8,2023-05-15
G255,P255,29,14,9,2023-12-01
G256,P256,48,7,2,2023-05-12
G257,P257,30,11,6,2023-12-10
G258,P258,3,6,15,2023-02-25
G259,P259,3,0,19,2023-12-22
G260,P260,15,8,14,2023-11-23
G261,P261,36,1,18,2023-06-30
G262,P262,12,11,6,2023-01-06
G263,P263,35,3,4,2023-10-15
G264,P264,3,14,9,2023-07-14
G265,P265,16,9,0,2023-09-16
G266,P266,24,8,16,2023-06-05
G267,P267,23,12,2,2023-12-23
G268,P268,20,0,18,2023-08-28
G269,P269,10,10,16,2023-07-28
G270,P270,40,14,8,2023-12-30
G271,P271,32,9,14,2023-08-08
G272,P272,36,9,3,2023-02-04
G273,P273,50,7,16,2023-12-09
G274,P274,22,3,17,2023-11-09
G275,P275,19,12,9,2023-09-07
G276,P276,40,2,17,2023-07-23
G277,P277,2,1,11,2023-01-22
G278,P278,8,11,20,2023-09-15
G279,P279,45,6,4,2023-03-21
G280,P280,26,6,7,2023-04-05
G281,P281,13,11,3,2023-12-23
G282,P282,17,1,19,2023-12-11
G283,P283,1,8,9,2023-03-10
G284,P284,9,10,6,2023-08-24
G285,P285,13,4,14,2023-11-05
G286,P286,37,12,20,2023-12-28
G287,P287,25,14,16,2023-02-08
G288,P288,21,7,20,2023-11-04
G289,P289,48,11,19,2023-02-14
G290,P290,47,12,5,2023-02-20
G291,P291,20,2,6,2023-06-12
G292,P292,28,11,11,2023-07-22
G293,P293,24,2,0,2023-06-29
G294,P294,47,4,6,2023-04-24
G295,P295,32,11,8,2023-09-11
G296,P296,48,9,17,2023-10-30
G297,P297,36,4,10,2023-08-26
G298,P298,19,4,15,2023-04-19
G299,P299,18,4,4,2023-11-21
G300,P300,38,8,9,2023-03-15
G301,P301,41,12,19,2023-04-15
G302,P302,43,5,15,2023-07-29
G303,P303,5,2,3,2023-09-03
G304,P304,46,5,1,2023-09-30
G305,P305,12,7,4,2023-07-08
G306,P306,30,6,8,2023-05-23
G307,P307,10,5,4,2023-04-09
G308,P308,42,14,14,2023-02-01
G309,P309,17,4,16,2023-08-22
G310,P310,4,9,6,2023-03-28
G311,P311,41,0,14,2023-10-30
G312,P312,34,9,8,2023-01-30
G313,P313,1,1,11,2023-08-02
G314,P314,46,9,17,2023-12-24
G315,P315,22,12,0,2023-08-23
G316,P316,30,1,13,2023-04-22
G317,P317,32,6,18,2023-02-23
G318,P318,35,0,5,2023-11-01
G319,P319,32,14,10,2023-06-04
G320,P320,49,9,9,2023-10-26
G321,P321,13,8,1,2023-06-09
G322,P322,34,1,9,2023-03-05
G323,P323,45,3,0,2023-10-14
G324,P324,46,9,13,2023-01-24
G325,P325,27,6,8,2023-02-17
G326,P326,32,14,6,2023-07-15
G327,P327,31,11,17,2023-07-09
G328,P328,6,8,2,2023-03-07
G329,P329,24,8,6,2023-04-03
G330,P330,34,2,4,2023-02-14
G331,P331,44,3,1,2023-06-04
G332,P332,29,9,18,2023-10-21
G333,P333,24,13,0,2023-10-20
G334,P334,26,2,8,2023-01-14
G335,P335,23,9,13,2023-06-18
G336,P336,0,11,1,2023-11-20
G337,P337,35,13,3,2023-03-02
G338,P338,24,10,6,2023-09-11
G339,P339,44,3,1,2023-11-28
G340,P340,28,2,13,2023-04-13
G341,P341,40,7,11,2023-12-21
G342,P342,35,0,13,2023-02-27
G343,P343,49,0,5,2023-02-10
G344,P344,20,6,0,2023-08-22
G345,P345,14,14,13,2023-01-23
G346,P346,42,1,14,2023-05-20
G347,P347,35,12,9,2023-05-09
G348,P348,7,15,17,2023-05-12
G349,P349,47,14,11,2023-03-26
G350,P350,5,6,6,2023-04-25
G351,P351,40,9,2,2023-12-15
G352,P352,49,3,17,2023-04-01
G353,P353,8,2,7,2023-09-22
G354,P354,30,0,8,2023-09-19
G355,P355,12,13,7,2023-05-02
G356,P356,38,4,8,2023-08-23
G357,P357,11,7,10,2023-03-31
G358,P358,30,12,6,2023-08-18
G359,P359,9,11,17,2023-02-24
G360,P360,50,13,14,2023-01-29
G361,P361,27,4,19,2023-01-04
G362,P362,1,2,15,2023-09-24
G363,P363,0,10,18,2023-06-03
G364,P364,18,11,9,2023-06-12
G365,P365,19,2,5,2023-07-31
G366,P366,36,13,13,2023-06-27
G367,P367,3,11,3,2023-03-22
G368,P368,22,8,10,2023-03-18
G369,P369,5,15,10,2023-12-11
G370,P370,25,4,10,2023-04-11
G371,P371,26,0,8,2023-04-09
G372,P372,6,9,16,2023-09-09
G373,P373,49,1,14,2023-10-12
G374,P374,4,8,19,2023-02-17
G375,P375,30,13,2,2023-01-25
G376,P376,2,15,20,2023-07-06
G377,P377,1,9,15,2023-09-25
G378,P378,17,2,5,2023-05-18
G379,P379,10,15,14,2023-07-04
G380,P380,19,11,13,2023-03-21
G381,P381,17,13,17,2023-09-02
G382,P382,49,7,12,2023-11-18
G383,P383,44,13,1,2023-03-17
G384,P384,13,13,0,2023-07-06
G385,P385,48,10,2,2023-01-26
G386,P386,28,2,10,2023-05-06
G387,P387,12,4,10,2023-10-24
G388,P388,36,15,12,2023-09-20
G389,P389,47,7,3,2023-09-24
G390,P390,45,5,13,2023-07-01
G391,P391,9,14,2,2023-03-08
G392,P392,20,9,2,2023-12-13
G393,P393,4,15,15,2023-02-10
G394,P394,10,4,7,2023-04-24
G395,P395,46,6,4,2023-06-14
G396,P396,5,14,3,2023-05-28
G397,P397,46,5,16,2023-02-23
G398,P398,44,1,2,2023-08-19
G399,P399,30,2,6,2024-01-01
G400,P400,13,14,12,2023-11-16
G401,P401,32,10,20,2023-07-13
G402,P402,21,5,19,2023-04-08
G403,P403,22,3,7,2023-04-06
G404,P404,15,14,4,2023-12-07
G405,P405,25,0,19,2023-02-15
G406,P406,0,2,11,2023-05-03
G407,P407,6,15,13,2023-05-24
G408,P408,38,13,9,2023-03-31
G409,P409,47,9,19,2023-09-11
G410,P410,38,0,20,2023-10-03
G411,P411,39,5,20,2023-09-01
G412,P412,38,3,10,2023-06-23
G413,P413,35,1,11,2023-11-18
G414,P414,23,8,20,2023-10-23
G415,P415,15,3,2,2023-08-10
G416,P416,28,3,8,2023-11-24
G417,P417,7,13,19,2023-06-14
G418,P418,35,13,19,2023-10-14
G419,P419,9,11,2,2023-06-30
G420,P420,38,14,4,2023-08-13
G421,P421,30,11,9,2023-02-08
G422,P422,34,3,13,2023-12-23
G423,P423,6,0,11,2023-11-02
G424,P424,16,13,19,2023-09-12
G425,P425,24,7,10,2023-01-30
G426,P426,42,12,1,2023-06-04
G427,P427,37,5,20,2023-09-04
G428,P428,49,12,5,2023-12-17
G429,P429,49,12,3,2023-05-28
G430,P430,44,15,1,2023-04-14
G431,P431,39,11,6,2023-03-18
G432,P432,37,15,11,2023-08-20
G433,P433,25,15,2,2023-05-11
G434,P434,24,13,4,2023-06-23
G435,P435,36,13,10,2023-09-01
G436,P436,41,3,10,2023-03-28
G437,P437,18,6,9,2023-09-01
G438,P438,12,9,13,2023-11-24
G439,P439,10,3,6,2023-10-18
G440,P440,43,11,3,2023-10-09
G441,P441,5,4,19,2023-11-24
G442,P442,4,10,0,2023-12-28
G443,P443,15,12,14,2023-01-31
G444,P444,45,1,8,2023-10-26
G445,P445,10,2,11,2023-07-04
G446,P446,43,9,15,2023-05-31
G447,P447,24,14,15,2023-06-07
G448,P448,35,4,0,2023-05-19
G449,P449,27,8,8,2023-01-29
G450,P450,35,3,5,2023-04-30
G451,P451,13,6,10,2023-07-13
G452,P452,8,6,6,2023-10-11
G453,P453,44,11,7,2023-06-27
G454,P454,7,14,18,2023-05-07
G455,P455,10,15,8,2023-08-24
G456,P456,41,6,13,2023-03-09
G457,P457,34,2,12,2023-07-19
G458,P458,46,9,0,2023-04-19
G459,P459,2,10,6,2023-08-14
G460,P460,3,9,17,2023-12-03
G461,P461,45,9,3,2023-02-04
G462,P462,30,14,2,2023-02-05
G463,P463,26,4,10,2023-04-16
G464,P464,45,8,18,2023-11-11
G465,P465,44,13,5,2023-03-27
G466,P466,7,7,16,2023-05-13
G467,P467,19,1,2,2023-05-30
G468,P468,3,11,6,2023-02-16
G469,P469,48,11,0,2023-07-05
G470,P470,49,2,18,2023-10-11
G471,P471,22,7,0,2023-02-11
G472,P472,37,1,14,2023-08-28
G473,P473,7,10,7,2023-10-23
G474,P474,6,5,5,2023-02-11
G475,P475,44,12,20,2023-05-19
G476,P476,26,12,18,2023-03-28
G477,P477,36,5,5,2023-11-01
G478,P478,1,11,7,2023-07-19
G479,P479,32,9,17,2023-08-20
G480,P480,49,0,18,2023-01-07
G481,P481,47,12,20,2023-04-30
G482,P482,46,13,20,2023-09-20
G483,P483,40,5,11,2023-03-04
G484,P484,25,6,3,2023-02-26
G485,P485,25,8,1,2023-10-17
G486,P486,6,2,1,2023-07-12
G487,P487,42,6,12,2023-10-19
G488,P488,20,15,4,2023-12-28
G489,P489,28,7,19,2023-06-10
G490,P490,16,11,16,2023-05-30
G491,P491,44,7,0,2023-05-01
G492,P492,13,7,1,2023-11-17
G493,P493,27,8,2,2023-11-14
G494,P494,35,5,15,2023-03-30
G495,P495,33,0,7,2023-04-10
G496,P496,26,10,7,2023-08-10
G497,P497,6,9,3,2023-03-23
G498,P498,41,11,18,2023-12-12
G499,P499,1,10,16,2023-06-29
G500,P500,16,7,0,2023-03-06
G501,P501,21,2,6,2023-03-23
G502,P502,40,13,11,2023-10-19
G503,P503,43,8,7,2023-03-03
G504,P504,46,6,2,2023-10-12
G505,P505,22,14,10,2023-09-14
G506,P506,48,0,17,2023-06-07
G507,P507,26,12,0,2023-11-16
G508,P508,19,6,6,2023-02-24
G509,P509,16,5,5,2023-05-07
G510,P510,18,4,4,2023-04-02
G511,P511,6,14,2,2023-10-23
G512,P512,2,14,14,2023-05-30
G513,P513,11,8,2,2023-06-15
G514,P514,19,13,11,2023-12-30
G515,P515,3,0,1,2023-03-22
G516,P516,13,5,14,2023-02-02
G517,P517,12,0,13,2023-08-06
G518,P518,7,5,12,2023-10-03
G519,P519,13,11,6,2023-09-18
G520,P520,43,7,19,2023-02-01
G521,P521,37,5,1,2023-10-15
G522,P522,12,1,17,2023-02-08
G523,P523,5,5,15,2023-06-20
G524,P524,31,6,14,2023-08-28
G525,P525,24,15,8,2023-12-18
G526,P526,43,0,11,2023-08-02
G527,P527,1,0,15,2023-03-31
G528,P528,15,5,9,2023-07-14
G529,P529,9,10,7,2023-01-02
G530,P530,39,0,1,2023-06-27
G531,P531,33,0,14,2023-10-23
G532,P532,11,9,8,2023-10-18
G533,P533,9,11,10,2023-07-23
G534,P534,27,11,12,2023-01-27
G535,P535,6,15,10,2023-07-12
G536,P536,22,0,19,2023-09-30
G537,P537,15,8,4,2023-09-21
G538,P538,38,12,16,2023-01-08
G539,P539,15,3,12,2023-03-26
G540,P540,10,12,12,2023-11-15
G541,P541,28,3,11,2023-01-14
G542,P542,29,1,1,2023-06-26
G543,P543,23,12,14,2023-08-27
G544,P544,42,13,13,2023-04-02
G545,P545,12,14,8,2023-12-27
G546,P546,22,8,12,2023-09-27
G547,P547,27,12,5,2023-07-12
G548,P548,20,4,5,2023-08-31
G549,P549,17,2,1,2023-08-22
G550,P550,13,12,3,2023-04-18
G551,P551,24,13,4,2023-02-27
G552,P552,27,14,4,2023-01-22
G553,P553,25,4,6,2023-05-18
G554,P554,28,10,17,2023-05-16
G555,P555,33,8,8,2023-03-27
G556,P556,29,4,13,2023-07-11
G557,P557,31,15,0,2023-09-22
G558,P558,15,11,9,2023-01-09
G559,P559,11,14,19,2023-05-07
G560,P560,40,1,2,2023-02-16
G561,P561,45,6,4,2023-02-18
G562,P562,36,13,0,2023-10-03
G563,P563,37,6,19,2023-04-01
G564,P564,8,12,5,2023-10-01
G565,P565,40,3,15,2023-07-21
G566,P566,36,9,11,2023-08-16
G567,P567,24,7,7,2023-05-05
G568,P568,25,0,7,2023-12-30
G569,P569,20,1,19,2023-06-09
G570,P570,6,7,8,2023-09-22
G571,P571,16,4,0,2023-02-27
G572,P572,21,10,10,2023-01-03
G573,P573,33,1,0,2023-08-19
G574,P574,36,6,15,2023-01-19
G575,P575,15,6,10,2023-02-13
G576,P576,15,1,6,2023-12-21
G577,P577,39,1,15,2023-01-07
G578,P578,5,14,20,2023-06-16
G579,P579,49,3,20,2023-11-03
G580,P580,22,10,8,2023-12-22
G581,P581,21,2,14,2023-04-12
G582,P582,9,15,17,2023-11-22
G583,P583,26,15,5,2023-02-11
G584,P584,48,11,9,2023-12-19
G585,P585,44,10,1,2023-10-29
G586,P586,14,1,13,2023-02-15
G587,P587,17,0,5,2023-10-24
G588,P588,43,6,12,2023-10-24
G589,P589,37,10,7,2023-10-11
G590,P590,29,3,15,2023-02-10
G591,P591,15,1,11,2023-02-04
G592,P592,43,3,16,2023-10-09
G593,P593,27,10,19,2023-01-31
G594,P594,5,11,14,2023-03-13
G595,P595,14,11,10,2023-05-29
G596,P596,2,10,16,2023-04-29
G597,P597,47,2,13,2023-07-17
G598,P598,11,10,1,2023-10-05
G599,P599,49,6,16,2023-05-13
G600,P600,27,7,13,2023-01-07
G601,P601,7,7,11,2023-07-06
G602,P602,1,14,1,2023-11-27
G603,P603,16,4,12,2023-03-27
G604,P604,48,15,10,2023-06-08
G605,P605,28,0,14,2023-05-05
G606,P606,31,15,0,2023-12-30
G607,P607,28,14,10,2023-01-13
G608,P608,10,14,17,2023-06-27
G609,P609,24,1,20,2023-07-12
G610,P610,26,9,1,2023-04-09
G611,P611,34,4,19,2023-05-05
G612,P612,4,1,12,2023-05-03
G613,P613,29,9,2,2023-12-03
G614,P614,22,14,16,2023-09-03
G615,P615,29,3,4,2023-08-04
G616,P616,14,3,9,2023-11-08
G617,P617,8,12,9,2023-07-13
G618,P618,15,7,20,2023-07-19
G619,P619,9,12,6,2023-06-07
G620,P620,24,12,10,2023-04-16
G621,P621,19,15,17,2023-12-15
G622,P622,1,15,0,2023-01-27
G623,P623,38,5,10,2023-09-08
G624,P624,44,10,2,2023-12-28
G625,P625,43,1,6,2023-10-24
G626,P626,46,4,3,2023-11-06
G627,P627,49,9,2,2023-09-01
G628,P628,41,2,6,2023-07-24
G629,P629,14,5,14,2023-06-13
G630,P630,30,11,17,2023-02-09
G631,P631,21,15,1,2023-05-26
G632,P632,0,15,20,2023-09-21
G633,P633,32,13,17,2023-10-25
G634,P634,32,13,19,2023-06-06
G635,P635,31,14,15,2023-10-09
G636,P636,32,7,1,2023-05-10
G637,P637,36,15,2,2023-11-29
G638,P638,46,5,12,2023-06-03
G639,P639,44,13,8,2023-12-29
G640,P640,40,11,6,2023-02-04
G641,P641,43,12,4,2023-09-27
G642,P642,45,14,16,2023-02-14
G643,P643,32,13,20,2023-12-18
G644,P644,14,1,4,2023-09-09
G645,P645,16,4,6,2023-04-15
G646,P646,38,4,5,2023-01-31
G647,P647,23,2,20,2023-08-19
G648,P648,40,0,10,2023-03-16
G649,P649,15,2,14,2023-12-10
G650,P650,1,3,14,2023-09-14
G651,P651,40,7,1,2023-08-22
G652,P652,37,10,18,2023-02-19
G653,P653,35,9,5,2023-04-09
G654,P654,2,9,12,2023-06-27
G655,P655,2,1,8,2023-09-01
G656,P656,25,11,2,2023-06-17
G657,P657,8,9,16,2023-06-19
G658,P658,15,8,3,2023-09-17
G659,P659,16,6,2,2023-04-26
G660,P660,16,0,1,2023-11-07
G661,P661,26,3,1,2023-06-13
G662,P662,31,3,18,2023-12-17
G663,P663,12,10,16,2023-08-02
G664,P664,27,7,20,2023-01-18
G665,P665,48,12,19,2023-12-16
G666,P666,45,2,0,2023-11-14
G667,P667,47,1,13,2023-03-08
G668,P668,32,8,6,2023-11-06
G669,P669,14,15,13,2023-06-15
G670,P670,47,11,8,2023-08-31
G671,P671,50,4,17,2023-05-10
G672,P672,1,9,18,2023-11-14
G673,P673,30,0,17,2023-01-10
G674,P674,40,3,9,2023-01-10
G675,P675,14,12,9,2023-06-20
G676,P676,49,12,7,2023-01-05
G677,P677,43,14,5,2023-08-06
G678,P678,21,4,4,2023-05-19
G679,P679,36,9,7,2023-02-02
G680,P680,19,8,7,2023-01-12
G681,P681,13,10,6,2023-10-31
G682,P682,8,14,16,2023-11-26
G683,P683,15,6,2,2023-04-04
G684,P684,29,1,12,2023-11-09
G685,P685,38,12,8,2023-04-07
G686,P686,24,1,5,2023-01-29
G687,P687,25,10,15,2023-06-06
G688,P688,38,9,14,2023-11-09
G689,P689,27,9,11,2023-07-10
G690,P690,30,1,9,2023-05-12
G691,P691,9,4,4,2023-08-27
G692,P692,25,10,11,2023-02-16
G693,P693,47,4,18,2023-06-01
G694,P694,15,1,20,2023-02-01
G695,P695,10,14,19,2023-05-15
G696,P696,19,9,7,2023-12-21
G697,P697,28,5,14,2023-09-09
G698,P698,19,11,4,2023-04-30
G699,P699,21,13,9,2023-05-09
G700,P700,38,7,3,2023-05-18
G701,P701,28,13,3,2023-05-25
G702,P702,43,14,10,2023-06-10
G703,P703,8,0,18,2023-09-20
G704,P704,26,8,18,2023-08-27
G705,P705,35,5,12,2023-11-10
G706,P706,14,15,14,2023-05-07
G707,P707,9,12,7,2023-08-12
G708,P708,26,12,17,2023-10-30
G709,P709,11,6,15,2023-05-20
G710,P710,27,8,6,2023-10-14
G711,P711,5,11,8,2023-07-16
G712,P712,31,2,0,2023-07-27
G713,P713,10,8,15,2023-12-05
G714,P714,25,13,11,2023-10-22
G715,P715,13,6,4,2023-09-13
G716,P716,3,11,10,2023-07-05
G717,P717,23,3,11,2023-01-20
G718,P718,19,2,1,2023-09-28
G719,P719,41,12,18,2023-04-09
G720,P720,29,14,16,2023-02-20
G721,P721,7,13,2,2023-03-27
G722,P722,23,0,5,2023-12-22
G723,P723,7,12,0,2023-04-21
G724,P724,10,11,8,2023-06-06
G725,P725,8,4,13,2023-07-26
G726,P726,24,13,9,2023-11-29
G727,P727,30,1,5,2023-10-26
G728,P728,28,7,0,2023-07-30
G729,P729,17,10,8,2023-06-28
G730,P730,42,7,10,2023-02-05
G731,P731,18,12,13,2023-12-05
G732,P732,13,14,10,2023-10-20
G733,P733,15,6,9,2023-07-22
G734,P734,25,9,2,2023-07-29
